link_id,post_type_key,keyword,anchor_text,anchor_variants,target_url,link_role,category,priority,active,usage_context,city,service_tags,event_context_tags,event_tags,language,notes
wp_post_2737,*,Gin Basil Smash,Gin Basil Smash,,https://staging.flairlab.de/gin-basil-smash/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2737
wp_post_2741,*,Gin Fizz,Gin Fizz,,https://staging.flairlab.de/gin-fizz/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2741
wp_post_2739,*,Gin Tonic,Gin Tonic,,https://staging.flairlab.de/gin-tonic/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2739
wp_post_3074,*,Grasshopper,Grasshopper,,https://staging.flairlab.de/grasshopper/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 3074
wp_post_2802,*,Hemingway Sour,Hemingway Sour,,https://staging.flairlab.de/hemingway-sour/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2802
wp_post_2648,*,Hugo,Hugo,,https://staging.flairlab.de/hugo/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2648
wp_post_2743,*,Hurricane,Hurricane,,https://staging.flairlab.de/hurricane/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2743
wp_post_2831,*,Ipanema,Ipanema,,https://staging.flairlab.de/ipanema/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2831
wp_post_2806,*,Kamikaze,Kamikaze,,https://staging.flairlab.de/kamikaze/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2806
wp_post_2715,*,Kir Royal,Kir Royal,,https://staging.flairlab.de/kir-royal-2/,ratgeber,Cocktail,low,False,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,"WordPress REST API: post ID 2715; inactive: utility, test, old, duplicate, or landing-page target—review before activation"
wp_post_2808,*,Lemon Drop,Lemon Drop,,https://staging.flairlab.de/lemon-drop/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2808
wp_post_2940,*,Long Island Iced tea,Long Island Iced tea,,https://staging.flairlab.de/long-island-iced-tea/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2940
wp_post_2834,*,Ma Belle,Ma Belle,,https://staging.flairlab.de/ma-belle/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2834
wp_post_2745,*,Mai Tai,Mai Tai,,https://staging.flairlab.de/mai-tai/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2745
wp_post_2810,*,Margarita,Margarita,,https://staging.flairlab.de/margarita/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2810
wp_post_2812,*,Martini,Martini,,https://staging.flairlab.de/martini/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2812
wp_post_2713,*,Mimosa,Mimosa,,https://staging.flairlab.de/mimosa/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2713
wp_post_2749,*,Mint Julep,Mint Julep,,https://staging.flairlab.de/mint-julep/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2749
wp_post_2751,*,Mojito,Mojito,,https://staging.flairlab.de/mojito/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2751
wp_post_2753,*,Mojito Razz,Mojito Razz,,https://staging.flairlab.de/mojito-razz/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2753
wp_post_2757,*,Moscow Mule,Moscow Mule,,https://staging.flairlab.de/moscow-mule/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2757
wp_post_2819,*,Mulata,Mulata,,https://staging.flairlab.de/mulata/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2819
wp_post_2721,*,Negroni,Negroni,,https://staging.flairlab.de/negroni/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2721
wp_post_2817,*,Old Fashioned,Old Fashioned,,https://staging.flairlab.de/old-fashioned/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2817
wp_post_2759,*,Peach Sling,Peach Sling,,https://staging.flairlab.de/peach-sling/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2759
wp_post_2763,*,Pimm’s cup,Pimm’s cup,pimms cup,https://staging.flairlab.de/pimms-cup/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2763
wp_post_2761,*,Pina Colada,Pina Colada,,https://staging.flairlab.de/pina-colada/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2761
wp_post_2855,*,Pink Panther,Pink Panther,,https://staging.flairlab.de/pink-panther/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2855
wp_post_2765,*,Planters Punch,Planters Punch,,https://staging.flairlab.de/planters-punch/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2765
wp_post_2784,*,Screwdriver,Screwdriver,,https://staging.flairlab.de/screwdriver/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2784
wp_post_2767,*,Sex on the Beach,Sex on the Beach,,https://staging.flairlab.de/sex-on-the-beach/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2767
wp_post_2946,*,Singapore Sling,Singapore Sling,,https://staging.flairlab.de/singapore-sling/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2946
wp_post_2843,*,Smoky Cosmo,Smoky Cosmo,,https://staging.flairlab.de/smoky-cosmo/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2843
wp_post_2778,*,Strawberry Colada,Strawberry Colada,,https://staging.flairlab.de/strawberry-colada/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2778
wp_post_2780,*,Strawberry Margarita,Strawberry Margarita,,https://staging.flairlab.de/strawberry-margarita/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2780
wp_post_2782,*,Swimming Pool,Swimming Pool,,https://staging.flairlab.de/swimming-pool/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2782
wp_post_2786,*,Tequila Sunrise,Tequila Sunrise,,https://staging.flairlab.de/tequila-sunrise/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2786
wp_post_2788,*,Touchdown,Touchdown,,https://staging.flairlab.de/touchdown/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2788
wp_post_2838,*,Virgin Mojito,Virgin Mojito,,https://staging.flairlab.de/virgin-mojito/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2838
wp_post_2775,*,Whiskey Sour,Whiskey Sour,,https://staging.flairlab.de/whiskey-sour/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2775
wp_post_2771,*,White Russian,White Russian,,https://staging.flairlab.de/white-russian/,ratgeber,Cocktail,low,True,"Wenn dieser Cocktail, seine Rezeptur oder eine passende Cocktailauswahl erwähnt wird",,,,,de-DE,WordPress REST API: post ID 2771
wp_post_25040,*,Alkoholfreie Cocktails für TV-Produktion,Alkoholfreie Cocktails für TV-Produktion,alkoholfreie cocktails tv produktion berlin,https://staging.flairlab.de/alkoholfreie-cocktails-tv-produktion-berlin/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Berlin,,,,de-DE,WordPress REST API: post ID 25040
wp_post_25070,*,Barkeeper auf der BCB 2022 Berlin,Barkeeper auf der BCB 2022 Berlin,barkeeper bcb berlin flairlab,https://staging.flairlab.de/barkeeper-bcb-2022-berlin-flairlab/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Berlin,,,,de-DE,WordPress REST API: post ID 25070
wp_post_24983,*,Barkeeper für Geburtstag in Berlin,Barkeeper für Geburtstag in Berlin,barkeeper geburtstag berlin malchow,https://staging.flairlab.de/barkeeper-geburtstag-berlin-malchow/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Berlin,,,,de-DE,WordPress REST API: post ID 24983
wp_post_24657,*,Barkeeper-Team auf der BCB Berlin 2025,Barkeeper-Team auf der BCB Berlin 2025,barkeeper team spirituosen promotion bcb berlin,https://staging.flairlab.de/barkeeper-team-spirituosen-promotion-bcb-berlin/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Berlin,,,,de-DE,WordPress REST API: post ID 24657
wp_post_24925,*,Cocktail-Catering für Gebäudeeröffnung in Berlin,Cocktail-Catering für Gebäudeeröffnung in Berlin,cocktail catering gebaeudeeroeffnung berlin,https://staging.flairlab.de/cocktail-catering-gebaeudeeroeffnung-berlin/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Berlin,,,,de-DE,WordPress REST API: post ID 24925
wp_post_25028,*,Cocktail-Catering für Messestand,Cocktail-Catering für Messestand,cocktail catering messestand estrel berlin,https://staging.flairlab.de/cocktail-catering-messestand-estrel-berlin/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Berlin,,,,de-DE,WordPress REST API: post ID 25028
wp_post_25048,*,Cocktail-Catering für Store-Event,Cocktail-Catering für Store-Event,cocktail catering store event berlin,https://staging.flairlab.de/cocktail-catering-store-event-berlin/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Berlin,,,,de-DE,WordPress REST API: post ID 25048
wp_post_24949,*,Cocktailcatering Rooftop Berlin,Cocktailcatering Rooftop Berlin,cocktailcatering rooftop berlin flairlab,https://staging.flairlab.de/cocktailcatering-rooftop-berlin-flairlab/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Berlin,,,,de-DE,WordPress REST API: post ID 24949
wp_post_25733,*,Cocktailkurs-Video für 60 Personen in Berlin,Cocktailkurs-Video für 60 Personen in Berlin,cocktailkurs mit teilnehmern in berlin,https://staging.flairlab.de/cocktailkurs-mit-60-teilnehmern-in-berlin/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Berlin,,,,de-DE,WordPress REST API: post ID 25733
wp_post_24784,*,Cocktails zur Eröffnung von Tante Frizzante in Berlin,Cocktails zur Eröffnung von Tante Frizzante in Berlin,cocktails eroeffnung tante frizzante berlin,https://staging.flairlab.de/cocktails-eroeffnung-tante-frizzante-berlin/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Berlin,,,,de-DE,WordPress REST API: post ID 24784
wp_post_24833,*,Cocktailshow & Smoothie-Fahrrad beim Sommerfest im Spreespeicher Berlin,Cocktailshow & Smoothie-Fahrrad beim Sommerfest im Spreespeicher Berlin,cocktailshow sommerfest berlin spreespeicher,https://staging.flairlab.de/cocktailshow-sommerfest-berlin-spreespeicher/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Berlin,,,,de-DE,WordPress REST API: post ID 24833
wp_post_24853,*,Erster FLAIRLAB Cocktailkurs in Berlin,Erster FLAIRLAB Cocktailkurs in Berlin,cocktailkurs junggesellenabschied berlin flairlab,https://staging.flairlab.de/cocktailkurs-junggesellenabschied-berlin-flairlab/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Berlin,,,,de-DE,WordPress REST API: post ID 24853
wp_post_25774,*,FLAIR Gentlemen Tandem-Show im Katapult Berlin,FLAIR Gentlemen Tandem-Show im Katapult Berlin,flair gentlemen tandem show im katapult berlin,https://staging.flairlab.de/flair-gentlemen-tandem-show-im-katapult-berlin/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Berlin,,,,de-DE,WordPress REST API: post ID 25774
wp_post_25889,*,Florent Rabate,Florent Rabate,showmixer florent,https://staging.flairlab.de/showmixer-florent/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",,,,,de-DE,WordPress REST API: post ID 25889
wp_post_25002,*,Kräuterbar für Nachhaltigkeits-Event,Kräuterbar für Nachhaltigkeits-Event,kraeuterbar nachhaltigkeits event,https://staging.flairlab.de/kraeuterbar-nachhaltigkeits-event/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",,,,,de-DE,WordPress REST API: post ID 25002
wp_post_24936,*,Mobile Bar mieten Berlin Firmenfeier,Mobile Bar mieten Berlin Firmenfeier,mobile bar mieten berlin firmenfeier flairlab,https://staging.flairlab.de/mobile-bar-mieten-berlin-firmenfeier-flairlab/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Berlin,,,,de-DE,WordPress REST API: post ID 24936
wp_post_25001,*,Mobile Bars für politische Events,Mobile Bars für politische Events,mobile bars fur politische events flairlab,https://staging.flairlab.de/mobile-bars-fur-politische-events-flairlab-2/,referenz,Event-Referenz,low,False,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",,,,,de-DE,"WordPress REST API: post ID 25001; inactive: utility, test, old, duplicate, or landing-page target—review before activation"
wp_post_25091,*,Mobile Cocktailbar für Hochzeit in Alzey,Mobile Cocktailbar für Hochzeit in Alzey,mobile cocktailbar hochzeit alzey,https://staging.flairlab.de/mobile-cocktailbar-hochzeit-alzey/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Alzey,,,,de-DE,WordPress REST API: post ID 25091
wp_post_24875,*,Showbarkeeper beim Museumsuferfest Frankfurt,Showbarkeeper beim Museumsuferfest Frankfurt,showbarkeeper museumsuferfest frankfurt,https://staging.flairlab.de/showbarkeeper-museumsuferfest-frankfurt/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Frankfurt,,,,de-DE,WordPress REST API: post ID 24875
wp_post_25057,*,Showbarkeeper für Store-Event,Showbarkeeper für Store-Event,showbarkeeper store event mall of berlin,https://staging.flairlab.de/showbarkeeper-store-event-mall-of-berlin/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Berlin,,,,de-DE,WordPress REST API: post ID 25057
wp_post_24896,*,Showbarkeeper im Schlosshotel Berlin,Showbarkeeper im Schlosshotel Berlin,,https://staging.flairlab.de/showbarkeeper-im-schlosshotel-berlin/,referenz,Event-Referenz,low,True,"Wenn ein vergleichbarer Eventtyp, Service, Ort oder Anlass beschrieben wird",Berlin,,,,de-DE,WordPress REST API: post ID 24896
wp_page_29,*,Allgemeine Geschäftsbedingungen,Allgemeine Geschäftsbedingungen,agb,https://staging.flairlab.de/agb/,seite,Seite,low,False,"Nur verwenden, wenn das konkrete Seitenthema ausdrücklich zum Text passt",,,,,de-DE,"WordPress REST API: page ID 29; inactive: utility, test, old, duplicate, or landing-page target—review before activation"
wp_page_23519,*,Cocktailcatering-nuernberg,Cocktailcatering-nuernberg,cocktailcatering nuernberg,https://staging.flairlab.de/lp/cocktailcatering-nuernberg/,seite,Seite,low,False,"Nur verwenden, wenn das konkrete Seitenthema ausdrücklich zum Text passt",Nürnberg,,,,de-DE,"WordPress REST API: page ID 23519; inactive: utility, test, old, duplicate, or landing-page target—review before activation"
wp_page_23715,*,Cocktailcatering-nuernberg2,Cocktailcatering-nuernberg2,cocktailcatering nuernberg2,https://staging.flairlab.de/lp/cocktailcatering-nuernberg2/,seite,Seite,low,False,"Nur verwenden, wenn das konkrete Seitenthema ausdrücklich zum Text passt",Nürnberg,,,,de-DE,"WordPress REST API: page ID 23715; inactive: utility, test, old, duplicate, or landing-page target—review before activation"
wp_page_21146,*,Danke,Danke,,https://staging.flairlab.de/danke/,seite,Seite,low,False,"Nur verwenden, wenn das konkrete Seitenthema ausdrücklich zum Text passt",,,,,de-DE,"WordPress REST API: page ID 21146; inactive: utility, test, old, duplicate, or landing-page target—review before activation"
wp_page_33,*,Datenschutzhinweise,Datenschutzhinweise,,https://staging.flairlab.de/datenschutzhinweise/,seite,Seite,low,False,"Nur verwenden, wenn das konkrete Seitenthema ausdrücklich zum Text passt",,,,,de-DE,"WordPress REST API: page ID 33; inactive: utility, test, old, duplicate, or landing-page target—review before activation"
wp_page_17858,*,Event Catering-old,Event Catering-old,event catering old,https://staging.flairlab.de/event-catering-old/,seite,Seite,low,False,"Nur verwenden, wenn das konkrete Seitenthema ausdrücklich zum Text passt",,,,,de-DE,"WordPress REST API: page ID 17858; inactive: utility, test, old, duplicate, or landing-page target—review before activation"
wp_page_20932,*,event-catering-4,event-catering-4,event catering,https://staging.flairlab.de/lp/event-catering-4/,seite,Seite,low,False,"Nur verwenden, wenn das konkrete Seitenthema ausdrücklich zum Text passt",,,,,de-DE,"WordPress REST API: page ID 20932; inactive: utility, test, old, duplicate, or landing-page target—review before activation"
wp_page_9548,*,FLAIRLAB Bewerbung-Formular,FLAIRLAB Bewerbung-Formular,bewerbung formular,https://staging.flairlab.de/bewerbung-formular/,seite,Seite,low,False,"Nur verwenden, wenn das konkrete Seitenthema ausdrücklich zum Text passt",,,,,de-DE,"WordPress REST API: page ID 9548; inactive: utility, test, old, duplicate, or landing-page target—review before activation"
wp_page_18214,*,Flo,Flo,,https://staging.flairlab.de/flo/,seite,Seite,low,False,"Nur verwenden, wenn das konkrete Seitenthema ausdrücklich zum Text passt",,,,,de-DE,"WordPress REST API: page ID 18214; inactive: utility, test, old, duplicate, or landing-page target—review before activation"
wp_page_5736,*,Google review,Google review,review,https://staging.flairlab.de/review/,seite,Seite,low,False,"Nur verwenden, wenn das konkrete Seitenthema ausdrücklich zum Text passt",,,,,de-DE,"WordPress REST API: page ID 5736; inactive: utility, test, old, duplicate, or landing-page target—review before activation"
wp_page_26578,*,Google review Bayern,Google review Bayern,,https://staging.flairlab.de/google-review-bayern/,seite,Seite,low,False,"Nur verwenden, wenn das konkrete Seitenthema ausdrücklich zum Text passt",,,,,de-DE,"WordPress REST API: page ID 26578; inactive: utility, test, old, duplicate, or landing-page target—review before activation"
wp_page_31,*,Impressum,Impressum,,https://staging.flairlab.de/impressum/,seite,Seite,low,False,"Nur verwenden, wenn das konkrete Seitenthema ausdrücklich zum Text passt",,,,,de-DE,"WordPress REST API: page ID 31; inactive: utility, test, old, duplicate, or landing-page target—review before activation"
